17:53:47 | INFO     | Conectando a Binance...
17:53:49 | INFO     | Conexion Binance establecida.
17:53:49 | INFO     | Conectando a Binance...
17:53:49 | INFO     | Conexion Binance establecida.
17:53:50 | INFO     | Conectando a Binance...
17:53:50 | INFO     | Conexion Binance establecida.
17:54:01 | INFO     | Conectando a Binance...
17:54:01 | INFO     | Conexion Binance establecida.
17:54:02 | INFO     | Conectando a Binance...
17:54:02 | INFO     | Conexion Binance establecida.
17:54:03 | INFO     | Conectando a Binance...
17:54:03 | INFO     | Conexion Binance establecida.
17:54:04 | INFO     | Conectando a Binance...
17:54:04 | INFO     | Conexion Binance establecida.
17:54:05 | INFO     | Conectando a Binance...
17:54:05 | INFO     | Conexion Binance establecida.
17:54:06 | INFO     | Conectando a Binance...
17:54:06 | INFO     | Conexion Binance establecida.
17:54:17 | INFO     | Conectando a Binance...
17:54:17 | INFO     | Conexion Binance establecida.
17:54:18 | INFO     | Conectando a Binance...
17:54:18 | INFO     | Conexion Binance establecida.
17:54:19 | INFO     | Conectando a Binance...
17:54:19 | INFO     | Conexion Binance establecida.
17:54:19 | INFO     | Conectando a Binance...
17:54:20 | INFO     | Conexion Binance establecida.
17:54:20 | INFO     | Conectando a Binance...
17:54:21 | INFO     | Conexion Binance establecida.
17:54:31 | INFO     | Conectando a Binance...
17:54:32 | INFO     | Conexion Binance establecida.
17:54:32 | INFO     | Conectando a Binance...
17:54:33 | INFO     | Conexion Binance establecida.
17:54:33 | INFO     | Conectando a Binance...
17:54:34 | INFO     | Conexion Binance establecida.
17:54:34 | INFO     | Conectando a Binance...
17:54:35 | INFO     | Conexion Binance establecida.
17:54:35 | INFO     | Conectando a Binance...
17:54:36 | INFO     | Conexion Binance establecida.
17:54:41 | WARNING  | Key ...8Df81A en cooldown por 65s
17:54:41 | WARNING  | Todas las keys en cooldown. La proxima disponible en 65s
17:54:46 | INFO     | Conectando a Binance...
17:54:47 | INFO     | Conexion Binance establecida.
17:54:47 | INFO     | Conectando a Binance...
